Module,Epic,Story,Task,Sub-Task,Component,Dependencies,Story_Points,Sprint,Priority,Acceptance_Criteria,Notes
Core Infrastructure,System Foundation,Project Setup,Initialize Next.js 14,Create project with TypeScript,-,None,2,Sprint 1,P0,Project runs on localhost,App Router + Mantine UI
Core Infrastructure,System Foundation,Project Setup,Initialize Next.js 14,Configure Mantine UI theme,-,Initialize project,1,Sprint 1,P0,Theme applies globally,
Core Infrastructure,System Foundation,Project Setup,Initialize Next.js 14,Setup path aliases,-,Initialize project,1,Sprint 1,P0,@ imports work,tsconfig.json
Core Infrastructure,System Foundation,Project Setup,Configure PostgreSQL,Create database instance,-,None,2,Sprint 1,P0,Connection verified,AWS RDS or Azure
Core Infrastructure,System Foundation,Project Setup,Configure PostgreSQL,Initialize Prisma ORM,-,Create DB,2,Sprint 1,P0,Migrations run,
Core Infrastructure,System Foundation,Project Setup,Configure PostgreSQL,Design base schema,-,Initialize Prisma,4,Sprint 1,P0,ERD approved,Users Roles Permissions
Core Infrastructure,System Foundation,Project Setup,Configure PostgreSQL,Create seed data scripts,-,Design schema,2,Sprint 1,P0,Dev data consistent,
Core Infrastructure,System Foundation,Project Setup,Setup NextAuth,Install and configure,-,Configure DB,2,Sprint 1,P0,Login works,Credentials provider
Core Infrastructure,System Foundation,Project Setup,Setup NextAuth,JWT token management,-,Install NextAuth,2,Sprint 1,P0,Tokens expire correctly,
Core Infrastructure,System Foundation,Project Setup,Setup NextAuth,Role-based middleware,-,JWT management,3,Sprint 1,P0,Routes protected,
Core Infrastructure,System Foundation,Project Setup,Setup NextAuth,Build login page,-,Configure NextAuth,2,Sprint 1,P0,Matches design system,
Core Infrastructure,System Foundation,Project Setup,Setup NextAuth,Password reset flow,-,Build login,3,Sprint 1,P1,Reset email works,
Core Infrastructure,System Foundation,Project Setup,Configure hosting,Provision cloud resources,-,None,4,Sprint 1,P0,IaC complete,AWS or Azure
Core Infrastructure,System Foundation,Project Setup,Configure hosting,Setup Vercel deployment,-,Provision cloud,2,Sprint 1,P0,App accessible via URL,
Core Infrastructure,System Foundation,Project Setup,Configure hosting,SSL certificate,-,Setup deployment,1,Sprint 1,P0,HTTPS works,
Core Infrastructure,System Foundation,Environment Setup,Setup CI/CD,Create GitHub Actions workflows,-,Configure hosting,3,Sprint 1,P0,Auto-deploy on push,
Core Infrastructure,System Foundation,Environment Setup,Setup CI/CD,Configure branch protection,-,Create workflows,1,Sprint 1,P0,PRs required,
Core Infrastructure,System Foundation,Environment Setup,Setup CI/CD,Setup staging environment,-,Configure protection,2,Sprint 1,P1,Preview URLs work,
Core Infrastructure,System Foundation,Environment Setup,Setup monitoring,Configure logging,-,Setup CI/CD,2,Sprint 2,P1,Logs visible,Application Insights

Admin,User Management,User CRUD,Create user data model,Define Prisma schema,-,Configure database,2,Sprint 2,P0,Schema migrated,
Admin,User Management,User CRUD,Create user data model,Define user roles,-,Define schema,1,Sprint 2,P0,Roles documented,TM RM VP BD Admin
Admin,User Management,User CRUD,Create user data model,Create permissions matrix,-,Define roles,2,Sprint 2,P0,Matrix approved,
Admin,User Management,User Interface,Build user list,Create SimpleUserManagement.tsx,SimpleUserManagement.tsx,Create model,4,Sprint 2,P0,Lists all users,
Admin,User Management,User Interface,Build user list,Add search functionality,-,Create component,2,Sprint 2,P0,Search filters instantly,By name email role
Admin,User Management,User Interface,Build user list,Add role filter dropdown,-,Create component,1,Sprint 2,P0,Filter works,
Admin,User Management,User Interface,Build user list,Implement pagination,-,Create component,1,Sprint 2,P0,Large lists paginate,25/50/100 options
Admin,User Management,User Forms,Build add/edit form,Create UserFormModal.tsx,UserFormModal.tsx,Build list,3,Sprint 2,P0,CRUD works,
Admin,User Management,User Forms,Build add/edit form,Territory assignment dropdown,-,Create modal,2,Sprint 2,P0,TM assigned to territory,
Admin,User Management,User Forms,Build add/edit form,Manager assignment,-,Create modal,2,Sprint 2,P0,Hierarchy established,
Admin,User Management,User Forms,Build add/edit form,Status toggle,-,Create modal,1,Sprint 2,P0,Status updates,Active/Inactive/Suspended
Admin,User Management,Bulk Operations,Build user import,Create UserImportModal.tsx,UserImportModal.tsx,Build forms,3,Sprint 3,P1,CSV import works,
Admin,User Management,Bulk Operations,Build user import,Add validation rules,-,Create modal,2,Sprint 3,P1,Bad data rejected,
Admin,User Management,Bulk Operations,Build user import,Error reporting,-,Add validation,1,Sprint 3,P1,Clear error messages,

Residential - Customer,Customer Entity,Customer CRUD,Create customer model,Define Prisma schema,-,Configure database,3,Sprint 2,P0,Schema migrated,
Residential - Customer,Customer Entity,Customer CRUD,Create customer model,Address fields,-,Define schema,1,Sprint 2,P0,Address validation,Street city state zip county
Residential - Customer,Customer Entity,Customer CRUD,Create customer model,Contact fields,-,Define schema,1,Sprint 2,P0,Format validation,phone email website
Residential - Customer,Customer Entity,Customer CRUD,Create customer model,Assignment fields,-,Define schema,1,Sprint 2,P0,FKs work,territoryId tmId rmId
Residential - Customer,Customer Entity,Customer CRUD,Create customer model,Group fields,-,Define schema,1,Sprint 2,P0,Hierarchy links,affinityGroupId ownershipGroupId
Residential - Customer,Customer Entity,Customer Views,Build customer list,Create CustomerList.tsx,CustomerList.tsx,Create model,4,Sprint 2,P0,Displays 1000+ customers,
Residential - Customer,Customer Entity,Customer Views,Build customer list,Add sortable columns,-,Create component,2,Sprint 2,P0,Sort asc/desc,Name territory status revenue
Residential - Customer,Customer Entity,Customer Views,Build customer list,Add advanced filters,-,Create component,2,Sprint 2,P0,Multiple filters combo,Status territory TM group
Residential - Customer,Customer Entity,Customer Views,Build customer list,Add quick search,-,Create component,1,Sprint 2,P0,Instant results,Search name address
Residential - Customer,Customer Entity,Customer Views,Build customer list,Export to CSV,-,Create component,2,Sprint 2,P0,CSV downloads,
Residential - Customer,Customer Entity,Customer Views,Build customer detail,Create CustomerDetail.tsx,CustomerDetail.tsx,Build list,5,Sprint 2,P0,All data visible,
Residential - Customer,Customer Entity,Customer Views,Build customer detail,Contact tab,-,Create detail,2,Sprint 2,P0,Contacts managed,
Residential - Customer,Customer Entity,Customer Views,Build customer detail,Training tab,-,Create detail,3,Sprint 2,P0,Training history visible,KEY: Training tracking
Residential - Customer,Customer Entity,Customer Views,Build customer detail,Orders tab,-,Create detail,3,Sprint 2,P0,Orders displayed,Read-only from Acumatica
Residential - Customer,Customer Entity,Customer Views,Build customer detail,Activities tab,-,Create detail,3,Sprint 3,P0,Timeline visible,
Residential - Customer,Customer Entity,Customer Views,Build customer detail,Notes tab,-,Create detail,2,Sprint 3,P0,Notes editable,
Residential - Customer,Customer Entity,Customer Forms,Build customer form,Create CustomerFormModal.tsx,CustomerFormModal.tsx,Build detail,4,Sprint 2,P0,CRUD works,
Residential - Customer,Customer Entity,Customer Forms,Build customer form,Territory auto-assignment,-,Create modal,2,Sprint 2,P0,Auto-assigns TM,Based on state/county
Residential - Customer,Customer Entity,Customer Forms,Build customer form,Form validation,-,Create modal,2,Sprint 2,P0,Invalid blocked,Required fields formats
Residential - Customer,Customer Entity,Customer Overview,Build overview,Create CustomerOverview.tsx,CustomerOverview.tsx,Build detail,3,Sprint 3,P1,Summary visible,

Residential - Territory,Territory Management,Territory Assignment,Create territory model,Define Prisma schema,-,Configure database,2,Sprint 2,P0,Schema migrated,
Residential - Territory,Territory Management,Territory Assignment,Create territory model,State/county mapping,-,Define schema,2,Sprint 2,P0,Covers all states,
Residential - Territory,Territory Management,Territory Assignment,Build assignment UI,Create TerritoryAssignment.tsx,TerritoryAssignment.tsx,Create model,4,Sprint 3,P0,TMs assigned visually,Drag-drop
Residential - Territory,Territory Management,Territory Assignment,Build assignment UI,Reassignment workflow,-,Create component,3,Sprint 3,P0,Customers follow territory,
Residential - Territory,Territory Management,Territory Assignment,Build assignment UI,Conflict detection,-,Create component,2,Sprint 3,P0,Overlaps flagged,
Residential - Territory,Territory Management,Territory Visualization,Build territory map,Create InteractiveTerritoryMap.tsx,InteractiveTerritoryMap.tsx,Build assignment,6,Sprint 3,P1,Map renders territories,US map with boundaries
Residential - Territory,Territory Management,Territory Visualization,Build territory map,Click to drill-down,-,Create map,2,Sprint 3,P1,Drill-down works,
Residential - Territory,Territory Management,Territory Visualization,Build territory map,Color coding by performance,-,Create map,2,Sprint 3,P1,Visual distinction,
Residential - Territory,Territory Management,Territory Restructuring,Build restructuring tools,Create BulkTerritoryOperations.tsx,BulkTerritoryOperations.tsx,Build map,4,Sprint 3,P1,Bulk ops work,Split merge territories
Residential - Territory,Territory Management,Territory Restructuring,Build restructuring tools,Impact preview,-,Create component,2,Sprint 3,P1,Preview before save,
Residential - Territory,Territory Management,Territory Reporting,Build performance dashboard,Create TerritoryPerformanceAnalytics.tsx,TerritoryPerformanceAnalytics.tsx,Build restructuring,4,Sprint 3,P1,VP sees all territories,KEY: VP dashboard
Residential - Territory,Territory Management,Territory Reporting,Build performance dashboard,Compare territories,-,Create dashboard,2,Sprint 3,P1,Comparison charts,

Residential - Groups,Affinity Groups,Group Structure,Create affinity model,Define Prisma schema,-,Configure database,2,Sprint 2,P0,Hierarchical structure,
Residential - Groups,Affinity Groups,Group Structure,Create affinity model,Parent-child relationships,-,Define schema,2,Sprint 2,P0,Up to 3 levels,
Residential - Groups,Ownership Groups,Group Structure,Create ownership model,Define Prisma schema,-,Configure database,2,Sprint 2,P0,Same as affinity,
Residential - Groups,Group Management,Group Interface,Build affinity UI,Create AffinityGroupManagement.tsx,AffinityGroupManagement.tsx,Create models,4,Sprint 3,P0,Tree view displays,
Residential - Groups,Group Management,Group Interface,Build ownership UI,Create OwnershipGroupManagement.tsx,OwnershipGroupManagement.tsx,Create models,3,Sprint 3,P0,Reuse affinity patterns,
Residential - Groups,Group Management,Group Interface,Build group forms,Add/edit/delete modals,-,Build UIs,2,Sprint 3,P0,CRUD works,
Residential - Groups,Group Management,Group Interface,Build group forms,Assign customers to groups,-,Build modals,3,Sprint 3,P0,Customers assigned,Drag-drop or dropdown
Residential - Groups,Group Management,Group Visualization,Build hierarchy viz,Create OrganizationChart.tsx,OrganizationChart.tsx,Build interface,4,Sprint 3,P1,Tree structure clear,
Residential - Groups,Group Management,Group Visualization,Build hierarchy viz,Expand/collapse nodes,-,Create chart,2,Sprint 3,P1,Navigation intuitive,
Residential - Groups,Roll-up Reporting,Calculations,Implement roll-up logic,Build aggregation service,-,Create models,4,Sprint 4,P0,Numbers roll up correctly,Sum child to parent
Residential - Groups,Roll-up Reporting,Calculations,Implement roll-up logic,Revenue roll-up,-,Build service,2,Sprint 4,P0,Revenue accurate,
Residential - Groups,Roll-up Reporting,Calculations,Implement roll-up logic,Training roll-up,-,Build service,2,Sprint 4,P0,Training counts accurate,

Residential - Activities,Activity Timeline,Activity Model,Create activity model,Define Prisma schema,-,Configure database,2,Sprint 3,P0,Schema migrated,
Residential - Activities,Activity Timeline,Activity Model,Create activity model,Define activity types,-,Define schema,1,Sprint 3,P0,Types defined,Call Visit Email Training Meeting
Residential - Activities,Activity Timeline,Timeline View,Build timeline,Create InteractionTimeline.tsx,InteractionTimeline.tsx,Create model,4,Sprint 3,P0,Timeline renders,
Residential - Activities,Activity Timeline,Timeline View,Build timeline,Activity icons per type,-,Create component,1,Sprint 3,P0,Visual distinction,
Residential - Activities,Activity Timeline,Timeline View,Build timeline,Expandable details,-,Create component,2,Sprint 3,P0,Details accessible,
Residential - Activities,Activity Timeline,Timeline View,Build timeline,Filter by type,-,Create component,2,Sprint 3,P1,Filters work,
Residential - Activities,Activity Timeline,Quick Add,Build quick add,Create CustomerActivities.tsx,CustomerActivities.tsx,Build timeline,3,Sprint 3,P1,Add activity inline,
Residential - Activities,Activity Timeline,Quick Add,Build quick add,Voice note field,-,Create component,2,Sprint 3,P1,Notes captured,
Residential - Activities,Activity Timeline,Quick Add,Build quick add,Auto-log call option,-,Create component,2,Sprint 3,P1,Call tracking ready,

Residential - Leads,Lead Pipeline,Lead Management,Create lead model,Define Prisma schema,-,Configure database,3,Sprint 4,P0,Schema migrated,
Residential - Leads,Lead Pipeline,Lead Management,Create lead model,Define lead sources,-,Define schema,1,Sprint 4,P0,Sources tracked,HubSpot Website Referral Trade Show
Residential - Leads,Lead Pipeline,Lead Management,Create lead model,Define lead stages,-,Define schema,1,Sprint 4,P0,Stages defined,New Contacted Qualified Proposal Closed
Residential - Leads,Lead Pipeline,Pipeline Board,Build Kanban board,Create LeadPipeline.tsx,LeadPipeline.tsx,Create model,6,Sprint 4,P0,Drag-drop between stages,KEY: Kanban board
Residential - Leads,Lead Pipeline,Pipeline Board,Build Kanban board,Stage columns,-,Create component,2,Sprint 4,P0,Stages customizable,
Residential - Leads,Lead Pipeline,Pipeline Board,Build Kanban board,Card details,-,Create component,2,Sprint 4,P0,Key info on cards,Company contact value age
Residential - Leads,Lead Pipeline,Pipeline Board,Build Kanban board,Stage counts,-,Create component,1,Sprint 4,P0,Counts accurate,
Residential - Leads,Lead Pipeline,Lead Forms,Build lead form,Create LeadFormModal.tsx,LeadFormModal.tsx,Build board,4,Sprint 4,P0,CRUD works,
Residential - Leads,Lead Pipeline,Lead Forms,Build lead detail,Create LeadDetailModal.tsx,LeadDetailModal.tsx,Build form,3,Sprint 4,P0,All info visible,
Residential - Leads,Lead Conversion,Workflow,Build conversion workflow,Create LeadConversionWorkflow.tsx,LeadConversionWorkflow.tsx,Build forms,4,Sprint 4,P0,Lead to Customer flow,KEY: Conversion
Residential - Leads,Lead Conversion,Workflow,Build conversion workflow,Auto-populate customer,-,Create workflow,2,Sprint 4,P0,Data carries over,
Residential - Leads,Lead Conversion,Workflow,Build conversion workflow,Conversion confirmation,-,Create workflow,2,Sprint 4,P0,No accidental conversions,
Residential - Leads,Lead Scoring,AI Scoring,Implement lead scoring,Define scoring factors,-,Create model,2,Sprint 5,P1,Factors defined,Source engagement company size
Residential - Leads,Lead Scoring,AI Scoring,Implement lead scoring,Build scoring algorithm,-,Define factors,4,Sprint 5,P1,Scores calculated,
Residential - Leads,Lead Scoring,AI Scoring,Implement lead scoring,Historical training,-,Build algorithm,4,Sprint 5,P1,Model improves,
Residential - Leads,Lead Analytics,Dashboard,Build analytics,Create LeadAnalytics.tsx,LeadAnalytics.tsx,Build board,4,Sprint 5,P1,Analytics visible,
Residential - Leads,Lead Analytics,Dashboard,Build analytics,Create ConversionAnalytics.tsx,ConversionAnalytics.tsx,Build LeadAnalytics,3,Sprint 5,P1,Funnel metrics,
Residential - Leads,Lead Analytics,Dashboard,Build analytics,Score distribution chart,-,Build analytics,2,Sprint 5,P1,Score insight,

Residential - CIS,CIS Automation,Email Parser,Build parser service,Email connector,-,Configure database,4,Sprint 5,P0,Read CIS emails,Graph API or IMAP
Residential - CIS,CIS Automation,Email Parser,Build parser service,Field extraction logic,-,Email connector,6,Sprint 5,P0,Fields extracted,Name address equipment
Residential - CIS,CIS Automation,Email Parser,Build parser service,Confidence scoring,-,Field extraction,2,Sprint 5,P0,Low confidence flagged,
Residential - CIS,CIS Automation,Review UI,Build review UI,Create CustomerInformationSheet.tsx,CustomerInformationSheet.tsx,Build parser,4,Sprint 5,P0,Review before save,
Residential - CIS,CIS Automation,Review UI,Build review UI,Edit inline capability,-,Create component,2,Sprint 5,P0,Manual corrections,
Residential - CIS,CIS Automation,Review UI,Build review UI,Approve/reject workflow,-,Create component,1,Sprint 5,P0,Clear workflow,
Residential - CIS,CIS Automation,Auto Population,Build auto-creation,Create customer from CIS,-,Build review,3,Sprint 5,P0,Customer created,
Residential - CIS,CIS Automation,Auto Population,Build auto-creation,Link to originating lead,-,Create customer,2,Sprint 5,P0,Lead to CIS to Customer,

Residential - Onboarding,Onboarding Workflow,Workflow Engine,Build workflow engine,Create step-based engine,-,Configure database,6,Sprint 6,P0,Workflows execute,Multi-step
Residential - Onboarding,Onboarding Workflow,Workflow Engine,Build workflow engine,Define step types,-,Create engine,2,Sprint 6,P0,Steps defined,Equipment Training Follow-up
Residential - Onboarding,Onboarding Workflow,Workflow Engine,Build workflow engine,Conditional logic,-,Define steps,3,Sprint 6,P0,Conditions work,If X skip Y
Residential - Onboarding,Onboarding Workflow,Wizard UI,Build wizard,Create OnboardingWizard.tsx,OnboardingWizard.tsx,Build engine,5,Sprint 6,P0,Wizard navigates,
Residential - Onboarding,Onboarding Workflow,Workflow View,Build workflow view,Create OnboardingWorkflow.tsx,OnboardingWorkflow.tsx,Build wizard,4,Sprint 6,P0,List of onboardings,
Residential - Onboarding,Onboarding Workflow,Workflow View,Build workflow view,Progress tracking,-,Create workflow,2,Sprint 6,P0,% complete visible,
Residential - Onboarding,Onboarding Workflow,Workflow View,Build workflow view,Task checklist,-,Create workflow,2,Sprint 6,P0,Tasks markable,
Residential - Onboarding,Onboarding Workflow,Notifications,Onboarding notifications,Email on step complete,-,Build engine,2,Sprint 6,P0,Emails sent,
Residential - Onboarding,Onboarding Workflow,Notifications,Onboarding notifications,Overdue alerts,-,Build engine,2,Sprint 6,P0,Alerts trigger,

Residential - Training,Training Scheduling,Calendar,Create training model,Define Prisma schema,-,Configure database,3,Sprint 7,P0,Schema migrated,
Residential - Training,Training Scheduling,Calendar,Create training model,Define training types,-,Define schema,1,Sprint 7,P0,Types defined,Product Safety Advanced
Residential - Training,Training Scheduling,Calendar,Create training model,Define training status,-,Define schema,1,Sprint 7,P0,Status workflow,Scheduled Completed Cancelled No-Show
Residential - Training,Training Scheduling,Calendar View,Build calendar,Create TrainingCalendar.tsx,TrainingCalendar.tsx,Create model,6,Sprint 7,P0,Month/week/day views,KEY: Training calendar
Residential - Training,Training Scheduling,Calendar View,Build calendar,Month view,-,Create calendar,2,Sprint 7,P0,Month displays,
Residential - Training,Training Scheduling,Calendar View,Build calendar,Week view,-,Create calendar,2,Sprint 7,P0,Week displays,
Residential - Training,Training Scheduling,Calendar View,Build calendar,Day view,-,Create calendar,2,Sprint 7,P0,Day displays,
Residential - Training,Training Scheduling,Calendar View,Build calendar,Drag to reschedule,-,Create calendar,3,Sprint 7,P0,Drag-drop reschedule,
Residential - Training,Training Scheduling,Calendar View,Build calendar,Color by type,-,Create calendar,1,Sprint 7,P0,Visual distinction,
Residential - Training,Training Scheduling,Calendar View,Build calendar,Filter by TM,-,Create calendar,1,Sprint 7,P0,TM filter works,
Residential - Training,Training Scheduling,Calendar View,Build calendar,Filter by customer,-,Create calendar,1,Sprint 7,P0,Customer filter works,
Residential - Training,Training Scheduling,Scheduling Form,Build schedule form,Create TrainingScheduleForm.tsx,TrainingScheduleForm.tsx,Build calendar,5,Sprint 7,P0,Schedule in < 1 min,KEY: Quick scheduling
Residential - Training,Training Scheduling,Scheduling Form,Build schedule form,Customer selector,-,Create form,2,Sprint 7,P0,Customer found quickly,
Residential - Training,Training Scheduling,Scheduling Form,Build schedule form,Trainer selector,-,Create form,1,Sprint 7,P0,Trainer assigned,
Residential - Training,Training Scheduling,Scheduling Form,Build schedule form,Date/time picker,-,Create form,1,Sprint 7,P0,Date/time set,
Residential - Training,Training Scheduling,Scheduling Form,Build schedule form,Training type selector,-,Create form,1,Sprint 7,P0,Type selected,
Residential - Training,Training Scheduling,Scheduling Form,Build schedule modal,Create TrainingScheduleModal.tsx,TrainingScheduleModal.tsx,Build form,2,Sprint 7,P0,Modal opens/closes,
Residential - Training,Training Scheduling,Availability,Build trainer management,Create TrainerManagement.tsx,TrainerManagement.tsx,Build form,4,Sprint 7,P0,Availability tracked,
Residential - Training,Training Scheduling,Availability,Build trainer management,Conflict detection,-,Create management,2,Sprint 7,P0,Conflicts flagged,
Residential - Training,Training Scheduling,Availability,Build trainer management,Block time,-,Create management,2,Sprint 7,P0,Blocked time works,
Residential - Training,Training Scheduling,Outlook Sync,Setup Graph API,Microsoft Graph auth,-,Build calendar,3,Sprint 7,P1,Auth works,
Residential - Training,Training Scheduling,Outlook Sync,Setup Graph API,Calendar permissions,-,Setup auth,2,Sprint 7,P1,Permissions granted,
Residential - Training,Training Scheduling,Outlook Sync,Build calendar sync,Two-way sync service,-,Setup Graph,5,Sprint 7,P1,Trainings in Outlook,KEY: Outlook sync
Residential - Training,Training Scheduling,Outlook Sync,Build calendar sync,Create events in Outlook,-,Build sync,2,Sprint 7,P1,Events created,
Residential - Training,Training Scheduling,Outlook Sync,Build calendar sync,Update events in Outlook,-,Build sync,2,Sprint 7,P1,Events updated,
Residential - Training,Training Scheduling,Outlook Sync,Build calendar sync,Delete events in Outlook,-,Build sync,1,Sprint 7,P1,Events removed,

Residential - Training,Training Tracking,Completion,Build completion form,Create TrainingCompletion.tsx,TrainingCompletion.tsx,Create model,4,Sprint 7,P0,One-tap complete,KEY: Quick complete
Residential - Training,Training Tracking,Completion,Build completion form,Completion status options,-,Create component,1,Sprint 7,P0,Status options,Complete Partial No-Show
Residential - Training,Training Tracking,Completion,Build completion form,Completion notes field,-,Create component,1,Sprint 7,P0,Notes captured,
Residential - Training,Training Tracking,Completion,Build completion form,Photo upload,-,Create component,2,Sprint 7,P0,Photos attached,
Residential - Training,Training Tracking,Completion Tracker,Build tracker,Create TrainingCompletionTracker.tsx,TrainingCompletionTracker.tsx,Build completion,4,Sprint 7,P0,Completion stats visible,
Residential - Training,Training Tracking,Completion Tracker,Build tracker,By TM breakdown,-,Create tracker,2,Sprint 7,P0,Answer how many trainings,KEY: Currie's question
